0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,2,2,2,3,3,3,3,3,5,5,4,6,5,7,6,6,6,7,7,7,8,8,9,11,11,11,9,11,11,12,13,13,14,12,14,14,14,14,14,15,15,17,16,16,14,16,15,13
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,2
6,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,5,4,5,5,4,4,3,6,5,4,4,5,5,4,6,6,5,6,5,4,6,7,6,7,9,9,9,12,10
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,2,2,2,2,2,3,3,2,2,2,2,3,4,2,3,3,2,4,4,5,3,5,3,5,6,6,6,5,8,5,6,6,8,10
9,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,4,3,4,4,4,4,4,5,5,6,5,6,7,8,7,6,7
